=========================================================================================================================================================================================================================================================================
LOG VIEW: 20260529_16g35p_ukf_log_data.csv
=========================================================================================================================================================================================================================================================================
FRAME | TX   | STATUS  | AX        | AY        | GZ        | PX        | PY           | DT       | MASK | D1        | D2        | D3        | D4        | ERR  | AMP1       | AMP2       | AMP3       | AMP4       | SNR1       | SNR2      | SNR3       | SNR4      
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    1 |    1 | Init    | -0.367510 | -0.131681 |  0.010792 |  1.750721 |     0.136802 | 0.000000 |   11 |  1.937113 |  8.053126 |  0.000000 | 14.496403 |  121 | 149.410156 |  71.585938 |        nan |  34.523438 | 244.000000 | 63.000000 |   0.000000 | 138.000000
    2 |    2 | Predict | -0.379481 | -0.111330 |  0.010525 |  1.750721 |     0.136802 | 0.020000 |   11 |  1.937113 |  8.053126 |  0.000000 | 14.496403 |  121 | 149.410156 |  71.585938 |        nan |  34.523438 | 244.000000 | 63.000000 |   0.000000 | 138.000000
    3 |    3 | Predict | -0.379481 | -0.116119 |  0.010925 |  1.750721 |     0.136802 | 0.020000 |   11 |  1.937113 |  8.053126 |  0.000000 | 14.496403 |  121 | 149.410156 |  71.585938 |        nan |  34.523438 | 244.000000 | 63.000000 |   0.000000 | 138.000000
    4 |    4 | Predict | -0.365116 | -0.128090 |  0.010792 |  1.750721 |     0.136802 | 0.020000 |   11 |  1.937113 |  8.053126 |  0.000000 | 14.496403 |  122 | 149.410156 |  71.585938 |        nan |  34.523438 | 244.000000 | 63.000000 |   0.000000 | 138.000000
    5 |    5 | Predict | -0.343568 | -0.132878 |  0.012257 |  1.750721 |     0.136802 | 0.020000 |   11 |  1.937113 |  8.053126 |  0.000000 | 14.496403 |  122 | 149.410156 |  71.585938 |        nan |  34.523438 | 244.000000 | 63.000000 |   0.000000 | 138.000000
    6 |    6 | Predict | -0.355539 | -0.107739 |  0.010658 |  1.750721 |     0.136802 | 0.020000 |   11 |  1.937113 |  8.053126 |  0.000000 | 14.496403 |  122 | 149.410156 |  71.585938 |        nan |  34.523438 | 244.000000 | 63.000000 |   0.000000 | 138.000000
    7 |    7 | Predict | -0.380678 | -0.122104 |  0.010792 |  1.750721 |     0.136802 | 0.020000 |   11 |  1.937113 |  8.053126 |  0.000000 | 14.496403 |  122 | 149.410156 |  71.585938 |        nan |  34.523438 | 244.000000 | 63.000000 |   0.000000 | 138.000000
    8 |    8 | Update  | -0.363919 | -0.116119 |  0.011724 |  1.789568 |     0.050720 | 0.140000 |   11 |  1.990859 |  8.018026 |  0.000000 | 14.556482 |  122 | 116.179688 |  42.398438 |   0.000000 |  25.343750 | 244.000000 | 63.000000 |   0.000000 | 138.000000
    9 |    9 | Predict | -0.374693 | -0.119710 |  0.012124 |  1.789568 |     0.050720 | 0.020000 |   11 |  1.990859 |  8.018026 |  0.000000 | 14.556482 |  122 | 116.179688 |  42.398438 |   0.000000 |  25.343750 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   10 |   10 | Predict | -0.378284 | -0.123301 |  0.010525 |  1.789568 |     0.050720 | 0.020000 |   11 |  1.990859 |  8.018026 |  0.000000 | 14.556482 |  122 | 116.179688 |  42.398438 |   0.000000 |  25.343750 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   11 |   11 | Predict | -0.381875 | -0.100556 |  0.011991 |  1.789568 |     0.050720 | 0.020000 |   11 |  1.990859 |  8.018026 |  0.000000 | 14.556482 |  122 | 116.179688 |  42.398438 |   0.000000 |  25.343750 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   12 |   12 | Predict | -0.371101 | -0.132878 |  0.010925 |  1.789568 |     0.050720 | 0.020000 |   11 |  1.990859 |  8.018026 |  0.000000 | 14.556482 |  123 | 116.179688 |  42.398438 |   0.000000 |  25.343750 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   13 |   13 | Predict | -0.354342 | -0.119710 |  0.011058 |  1.789568 |     0.050720 | 0.020000 |   11 |  1.990859 |  8.018026 |  0.000000 | 14.556482 |  123 | 116.179688 |  42.398438 |   0.000000 |  25.343750 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   14 |   14 | Predict | -0.374693 | -0.134075 |  0.011991 |  1.789568 |     0.050720 | 0.020000 |   11 |  1.990859 |  8.018026 |  0.000000 | 14.556482 |  123 | 116.179688 |  42.398438 |   0.000000 |  25.343750 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   15 |   15 | Predict | -0.361524 | -0.114922 |  0.010792 |  1.789568 |     0.050720 | 0.020000 |   11 |  1.990859 |  8.018026 |  0.000000 | 14.556482 |  123 | 116.179688 |  42.398438 |   0.000000 |  25.343750 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   16 |   16 | Update  | -0.367510 | -0.112527 |  0.010792 |  1.506207 |     0.107656 | 0.152000 |   14 |  0.000000 |  8.068125 | 12.060323 | 14.536431 |  123 | 142.144531 |  58.300781 |  20.664062 |  18.703125 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   17 |   17 | Predict | -0.365116 | -0.119710 |  0.010525 |  1.506207 |     0.107656 | 0.020000 |   14 |  0.000000 |  8.068125 | 12.060323 | 14.536431 |  123 | 142.144531 |  58.300781 |  20.664062 |  18.703125 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   18 |   18 | Predict | -0.359130 | -0.135272 |  0.010525 |  1.506207 |     0.107656 | 0.020000 |   14 |  0.000000 |  8.068125 | 12.060323 | 14.536431 |  123 | 142.144531 |  58.300781 |  20.664062 |  18.703125 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   19 |   19 | Predict | -0.390255 | -0.126893 |  0.011191 |  1.506207 |     0.107656 | 0.020000 |   14 |  0.000000 |  8.068125 | 12.060323 | 14.536431 |  123 | 142.144531 |  58.300781 |  20.664062 |  18.703125 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   20 |   20 | Update  | -0.375890 | -0.118513 |  0.011058 |  1.754723 |     0.486163 | 0.077000 |    7 |  1.856318 |  8.028159 | 11.850043 | 14.426374 |  123 | 127.140625 |  73.320312 |  34.687500 |  40.078125 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   21 |   21 | Predict | -0.375890 | -0.113725 |  0.011458 |  1.754723 |     0.486163 | 0.020000 |    7 |  1.856318 |  8.028159 | 11.850043 | 14.426374 |  123 | 127.140625 |  73.320312 |  34.687500 |  40.078125 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   22 |   22 | Predict | -0.372298 | -0.128090 |  0.011458 |  1.754723 |     0.486163 | 0.020000 |    7 |  1.856318 |  8.028159 | 11.850043 | 14.426374 |  123 | 127.140625 |  73.320312 |  34.687500 |  40.078125 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   23 |   23 | Update  | -0.369904 | -0.113725 |  0.011724 |  1.737914 |     0.078427 | 0.073000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  123 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   24 |   24 | Predict | -0.379481 | -0.132878 |  0.011325 |  1.737914 |     0.078427 | 0.021000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  123 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   25 |   25 | Predict | -0.369904 | -0.141258 |  0.011591 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  123 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   26 |   26 | Predict | -0.356736 | -0.104148 |  0.011991 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  123 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   27 |   27 | Predict | -0.377087 | -0.117316 |  0.009992 |  1.737914 |     0.078427 | 0.021000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  124 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   28 |   28 | Predict | -0.366313 | -0.108936 |  0.011724 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  124 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   29 |   29 | Predict | -0.379481 | -0.118513 |  0.010792 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  124 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   30 |   30 | Predict | -0.367510 | -0.122104 |  0.011191 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  124 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   31 |   31 | Predict | -0.384269 | -0.116119 |  0.010925 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  125 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   32 |   32 | Predict | -0.381875 | -0.116119 |  0.010925 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  125 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   33 |   33 | Predict | -0.372298 | -0.110133 |  0.010525 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  125 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   34 |   34 | Predict | -0.377087 | -0.125696 |  0.012257 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  125 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   35 |   35 | Predict | -0.360327 | -0.113725 |  0.010792 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  126 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   36 |   36 | Predict | -0.368707 | -0.118513 |  0.010525 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  126 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   37 |   37 | Predict | -0.378284 | -0.120907 |  0.011191 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  126 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   38 |   38 | Predict | -0.375890 | -0.120907 |  0.010792 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  126 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   39 |   39 | Predict | -0.390255 | -0.149638 |  0.010525 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  127 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   40 |   40 | Predict | -0.355539 | -0.140061 |  0.011325 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  127 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   41 |   41 | Predict | -0.389058 | -0.132878 |  0.011458 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  127 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   42 |   42 | Predict | -0.374693 | -0.117316 |  0.010925 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  128 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   43 |   43 | Predict | -0.374693 | -0.107739 |  0.010126 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  128 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   44 |   44 | Predict | -0.361524 | -0.118513 |  0.011991 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  128 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   45 |   45 | Predict | -0.365116 | -0.120907 |  0.012124 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  129 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   46 |   46 | Predict | -0.359130 | -0.117316 |  0.011858 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  129 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   47 |   47 | Predict | -0.368707 | -0.120907 |  0.011191 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  129 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   48 |   48 | Predict | -0.380678 | -0.123301 |  0.011458 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  129 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   49 |   49 | Predict | -0.381875 | -0.123301 |  0.012790 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  129 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   50 |   50 | Predict | -0.360327 | -0.111330 |  0.010259 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  130 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   51 |   51 | Predict | -0.372298 | -0.119710 |  0.011325 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  130 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   52 |   52 | Predict | -0.354342 | -0.116119 |  0.010792 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  130 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   53 |   53 | Predict | -0.372298 | -0.112527 |  0.010658 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  130 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   54 |   54 | Predict | -0.366313 | -0.119710 |  0.010525 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  131 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   55 |   55 | Predict | -0.359130 | -0.131681 |  0.011724 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  131 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   56 |   56 | Predict | -0.354342 | -0.101754 |  0.010792 |  1.737914 |     0.078427 | 0.020000 |   11 |  1.980710 |  8.078164 |  0.000000 | 14.566506 |  131 | 170.039062 |  80.429688 |   0.000000 |  49.386719 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   57 |   57 | Update  | -0.365116 | -0.111330 |  0.010792 |  1.772127 |     0.146036 | 0.678000 |   11 |  1.903812 |  8.018116 |  0.000000 | 14.476426 |  131 | 152.664062 |  75.312500 |        nan |  46.542969 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   58 |   58 | Predict | -0.366313 | -0.117316 |  0.011991 |  1.772127 |     0.146036 | 0.020000 |   11 |  1.903812 |  8.018116 |  0.000000 | 14.476426 |  131 | 152.664062 |  75.312500 |        nan |  46.542969 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   59 |   59 | Predict | -0.371101 | -0.123301 |  0.010925 |  1.772127 |     0.146036 | 0.020000 |   11 |  1.903812 |  8.018116 |  0.000000 | 14.476426 |  131 | 152.664062 |  75.312500 |        nan |  46.542969 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   60 |   60 | Predict | -0.378284 | -0.134075 |  0.011191 |  1.772127 |     0.146036 | 0.020000 |   11 |  1.903812 |  8.018116 |  0.000000 | 14.476426 |  132 | 152.664062 |  75.312500 |        nan |  46.542969 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   61 |   61 | Predict | -0.365116 | -0.123301 |  0.010525 |  1.772127 |     0.146036 | 0.020000 |   11 |  1.903812 |  8.018116 |  0.000000 | 14.476426 |  132 | 152.664062 |  75.312500 |        nan |  46.542969 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   62 |   62 | Predict | -0.375890 | -0.120907 |  0.009726 |  1.772127 |     0.146036 | 0.020000 |   11 |  1.903812 |  8.018116 |  0.000000 | 14.476426 |  132 | 152.664062 |  75.312500 |        nan |  46.542969 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   63 |   63 | Predict | -0.384269 | -0.117316 |  0.010792 |  1.772127 |     0.146036 | 0.020000 |   11 |  1.903812 |  8.018116 |  0.000000 | 14.476426 |  132 | 152.664062 |  75.312500 |        nan |  46.542969 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   64 |   64 | Predict | -0.365116 | -0.118513 |  0.010658 |  1.772127 |     0.146036 | 0.020000 |   11 |  1.903812 |  8.018116 |  0.000000 | 14.476426 |  133 | 152.664062 |  75.312500 |        nan |  46.542969 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   65 |   65 | Predict | -0.367510 | -0.120907 |  0.013190 |  1.772127 |     0.146036 | 0.020000 |   11 |  1.903812 |  8.018116 |  0.000000 | 14.476426 |  133 | 152.664062 |  75.312500 |        nan |  46.542969 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   66 |   66 | Predict | -0.365116 | -0.123301 |  0.010792 |  1.772127 |     0.146036 | 0.020000 |   11 |  1.903812 |  8.018116 |  0.000000 | 14.476426 |  133 | 152.664062 |  75.312500 |        nan |  46.542969 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   67 |   67 | Predict | -0.372298 | -0.106542 |  0.012257 |  1.772127 |     0.146036 | 0.020000 |   11 |  1.903812 |  8.018116 |  0.000000 | 14.476426 |  133 | 152.664062 |  75.312500 |        nan |  46.542969 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   68 |   68 | Predict | -0.371101 | -0.136469 |  0.011724 |  1.772127 |     0.146036 | 0.020000 |   11 |  1.903812 |  8.018116 |  0.000000 | 14.476426 |  133 | 152.664062 |  75.312500 |        nan |  46.542969 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   69 |   69 | Predict | -0.373495 | -0.125696 |  0.010525 |  1.772127 |     0.146036 | 0.020000 |   11 |  1.903812 |  8.018116 |  0.000000 | 14.476426 |  134 | 152.664062 |  75.312500 |        nan |  46.542969 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   70 |   70 | Predict | -0.369904 | -0.113725 |  0.011325 |  1.772127 |     0.146036 | 0.020000 |   11 |  1.903812 |  8.018116 |  0.000000 | 14.476426 |  134 | 152.664062 |  75.312500 |        nan |  46.542969 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   71 |   71 | Predict | -0.383072 | -0.125696 |  0.011058 |  1.772127 |     0.146036 | 0.020000 |   11 |  1.903812 |  8.018116 |  0.000000 | 14.476426 |  134 | 152.664062 |  75.312500 |        nan |  46.542969 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   72 |   72 | Update  | -0.383072 | -0.120907 |  0.011325 |  1.678169 |     0.154268 | 0.294000 |   11 |  1.931895 |  8.138303 |  0.000000 | 14.536431 |  134 | 170.195312 |  77.546875 |   0.000000 |  34.113281 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   73 |   73 | Predict | -0.361524 | -0.100556 |  0.011591 |  1.678169 |     0.154268 | 0.020000 |   11 |  1.931895 |  8.138303 |  0.000000 | 14.536431 |  134 | 170.195312 |  77.546875 |   0.000000 |  34.113281 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   74 |   74 | Predict | -0.361524 | -0.120907 |  0.011325 |  1.678169 |     0.154268 | 0.020000 |   11 |  1.931895 |  8.138303 |  0.000000 | 14.536431 |  134 | 170.195312 |  77.546875 |   0.000000 |  34.113281 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   75 |   75 | Predict | -0.348356 | -0.105345 |  0.011325 |  1.678169 |     0.154268 | 0.020000 |   11 |  1.931895 |  8.138303 |  0.000000 | 14.536431 |  134 | 170.195312 |  77.546875 |   0.000000 |  34.113281 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   76 |   76 | Predict | -0.347159 | -0.113725 |  0.011991 |  1.678169 |     0.154268 | 0.020000 |   11 |  1.931895 |  8.138303 |  0.000000 | 14.536431 |  135 | 170.195312 |  77.546875 |   0.000000 |  34.113281 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   77 |   77 | Predict | -0.367510 | -0.113725 |  0.009593 |  1.678169 |     0.154268 | 0.020000 |   11 |  1.931895 |  8.138303 |  0.000000 | 14.536431 |  135 | 170.195312 |  77.546875 |   0.000000 |  34.113281 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   78 |   78 | Predict | -0.389058 | -0.123301 |  0.011058 |  1.678169 |     0.154268 | 0.020000 |   11 |  1.931895 |  8.138303 |  0.000000 | 14.536431 |  135 | 170.195312 |  77.546875 |   0.000000 |  34.113281 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   79 |   79 | Predict | -0.390255 | -0.116119 |  0.012257 |  1.678169 |     0.154268 | 0.020000 |   11 |  1.931895 |  8.138303 |  0.000000 | 14.536431 |  136 | 170.195312 |  77.546875 |   0.000000 |  34.113281 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   80 |   80 | Predict | -0.355539 | -0.118513 |  0.013057 |  1.678169 |     0.154268 | 0.020000 |   11 |  1.931895 |  8.138303 |  0.000000 | 14.536431 |  136 | 170.195312 |  77.546875 |   0.000000 |  34.113281 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   81 |   81 | Predict | -0.381875 | -0.119710 |  0.010792 |  1.678169 |     0.154268 | 0.020000 |   11 |  1.931895 |  8.138303 |  0.000000 | 14.536431 |  136 | 170.195312 |  77.546875 |   0.000000 |  34.113281 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   82 |   82 | Predict | -0.359130 | -0.124498 |  0.011325 |  1.678169 |     0.154268 | 0.020000 |   11 |  1.931895 |  8.138303 |  0.000000 | 14.536431 |  136 | 170.195312 |  77.546875 |   0.000000 |  34.113281 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   83 |   83 | Predict | -0.374693 | -0.118513 |  0.011724 |  1.678169 |     0.154268 | 0.020000 |   11 |  1.931895 |  8.138303 |  0.000000 | 14.536431 |  137 | 170.195312 |  77.546875 |   0.000000 |  34.113281 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   84 |   84 | Predict | -0.365116 | -0.117316 |  0.010925 |  1.678169 |     0.154268 | 0.020000 |   11 |  1.931895 |  8.138303 |  0.000000 | 14.536431 |  137 | 170.195312 |  77.546875 |   0.000000 |  34.113281 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   85 |   85 | Predict | -0.367510 | -0.130484 |  0.010525 |  1.678169 |     0.154268 | 0.020000 |   11 |  1.931895 |  8.138303 |  0.000000 | 14.536431 |  137 | 170.195312 |  77.546875 |   0.000000 |  34.113281 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   86 |   86 | Predict | -0.369904 | -0.102951 |  0.011325 |  1.678169 |     0.154268 | 0.020000 |   11 |  1.931895 |  8.138303 |  0.000000 | 14.536431 |  137 | 170.195312 |  77.546875 |   0.000000 |  34.113281 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   87 |   87 | Update  | -0.357933 | -0.120907 |  0.011325 |  1.734264 |     0.296746 | 0.298000 |    7 |  1.962644 |  8.078164 | 12.060323 |  0.000000 |  137 | 135.843750 |  65.781250 |  16.527344 |   0.000000 | 244.000000 | 63.000000 | 138.000000 |   0.000000
   88 |   88 | Predict | -0.371101 | -0.104148 |  0.010525 |  1.734264 |     0.296746 | 0.020000 |    7 |  1.962644 |  8.078164 | 12.060323 |  0.000000 |  137 | 135.843750 |  65.781250 |  16.527344 |   0.000000 | 244.000000 | 63.000000 | 138.000000 |   0.000000
   89 |   89 | Predict | -0.363919 | -0.140061 |  0.011724 |  1.734264 |     0.296746 | 0.020000 |    7 |  1.962644 |  8.078164 | 12.060323 |  0.000000 |  137 | 135.843750 |  65.781250 |  16.527344 |   0.000000 | 244.000000 | 63.000000 | 138.000000 |   0.000000
   90 |   90 | Update  | -0.379481 | -0.131681 |  0.011058 |  1.739974 |     0.375314 | 0.076000 |    7 |  1.990825 |  8.078161 | 11.985229 | 14.546456 |  137 | 121.007812 |  62.531250 |  17.277344 |  26.031250 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   91 |   91 | Predict | -0.374693 | -0.104148 |  0.011458 |  1.739974 |     0.375314 | 0.020000 |    7 |  1.990825 |  8.078161 | 11.985229 | 14.546456 |  137 | 121.007812 |  62.531250 |  17.277344 |  26.031250 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   92 |   92 | Predict | -0.360327 | -0.122104 |  0.011591 |  1.739974 |     0.375314 | 0.020000 |    7 |  1.990825 |  8.078161 | 11.985229 | 14.546456 |  137 | 121.007812 |  62.531250 |  17.277344 |  26.031250 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   93 |   93 | Predict | -0.369904 | -0.108936 |  0.011724 |  1.739974 |     0.375314 | 0.020000 |    7 |  1.990825 |  8.078161 | 11.985229 | 14.546456 |  137 | 121.007812 |  62.531250 |  17.277344 |  26.031250 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   94 |   94 | Predict | -0.365116 | -0.122104 |  0.011991 |  1.739974 |     0.375314 | 0.020000 |    7 |  1.990825 |  8.078161 | 11.985229 | 14.546456 |  138 | 121.007812 |  62.531250 |  17.277344 |  26.031250 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   95 |   95 | Predict | -0.369904 | -0.101754 |  0.010925 |  1.739974 |     0.375314 | 0.020000 |    7 |  1.990825 |  8.078161 | 11.985229 | 14.546456 |  138 | 121.007812 |  62.531250 |  17.277344 |  26.031250 | 244.000000 | 63.000000 | 138.000000 | 138.000000
